id;matricule;marque
1;San Marino model Games;compelling Maryland
2;Liaison Arizona;one-to-one
3;cross-media maroon Profit-focused;reinvent Bike
4;Savings Account Park Papua New Guinea;Auto Loan Account Security Health
5;Forward Front-line non-volatile;throughput
6;application parsing;24 hour web-readiness
7;Sleek;generate Plastic New Mexico
8;Northern Mariana Islands salmon orchestrate;optimize Sausages
9;Handmade;wireless motivating connecting
10;Cambridgeshire;Fully-configurable Handcrafted Soft Table
